country,population,population_pct,date
China,1401376760,18.0,2020-02-17
India,1358740950,17.5,2020-02-17
United States,329300074,4.24,2020-02-17
Indonesia,266911900,3.44,2019-07-01
Pakistan,218653520,2.82,2020-02-17
Brazil,211138128,2.72,2020-02-17
Nigeria,200963599,2.59,2019-07-01
Bangladesh,168118750,2.16,2020-02-17
Russia,146780720,1.89,2019-01-01
Mexico,126577691,1.63,2019-07-01
Japan,126020000,1.62,2020-01-01
Philippines,108288508,1.39,2020-02-17
Egypt,100028878,1.29,2020-02-17
Ethiopia,98665000,1.27,2019-07-01
Vietnam,96208984,1.24,2019-04-01
DR Congo,86790567,1.12,2019-07-01
Iran,83208295,1.07,2020-02-17
Turkey,83154997,1.07,2019-12-31
Germany,83149300,1.07,2019-09-30
France,67064000,0.8640000000000001,2020-01-01
Thailand,66471167,0.856,2020-02-17
United Kingdom,66435600,0.855,2018-06-30
Italy,60247214,0.7759999999999999,2019-09-30
South Africa,58775022,0.757,2019-07-01
Tanzania,55890747,0.72,2019-07-01
Myanmar,54339766,0.7,2019-07-01
South Korea,51811167,0.667,2019-07-01
Colombia,49395678,0.636,2019-06-30
Kenya,47564296,0.612,2019-08-31
Spain,47100396,0.607,2019-07-01
Argentina,44938712,0.579,2019-07-01
Algeria,43000000,0.5539999999999999,2019-01-01
Sudan,42274565,0.544,2020-02-17
Ukraine,41922670,0.54,2019-12-01
Uganda,40299300,0.519,2019-07-01
Iraq,39127900,0.504,2019-07-01
Poland,38386000,0.494,2019-06-30
Canada,37926457,0.488,2020-02-17
Morocco,35813309,0.461,2020-02-17
Saudi Arabia,34218169,0.441,2019-07-01
Uzbekistan,34020079,0.43799999999999994,2020-02-17
Malaysia,32692760,0.42100000000000004,2020-02-17
Afghanistan,32225560,0.415,2019-07-01
Venezuela,32219521,0.415,2019-06-30
Peru,32131400,0.414,2019-06-30
Angola,31127674,0.401,2020-01-01
Ghana,30280811,0.39,2019-07-01
Nepal,29609623,0.381,2019-07-01
Yemen,29161922,0.376,2019-07-01
Mozambique,28571310,0.368,2019-07-01
Cameroon,25876000,0.33299999999999996,2019-07-01
Ivory Coast,25823071,0.33299999999999996,2019-07-01
Madagascar,25680342,0.331,2018-05-18
Australia,25619052,0.33,2020-02-17
North Korea,25450000,0.32799999999999996,2019-07-01
Taiwan,23604265,0.304,2020-01-31
Niger,22314743,0.287,2019-07-01
Sri Lanka,21803000,0.281,2019-07-01
Burkina Faso,20870060,0.26899999999999996,2019-07-01
Mali,19973000,0.257,2019-07-01
Romania,19405156,0.25,2019-01-01
Chile,19107216,0.24600000000000002,2019-07-01
Kazakhstan,18646752,0.24,2020-02-17
Malawi,17563749,0.226,2018-09-03
Netherlands,17435281,0.225,2020-02-17
Ecuador,17426304,0.22399999999999998,2020-02-17
Zambia,17381168,0.22399999999999998,2019-07-01
Syria,17070135,0.22,2019-07-01
Guatemala,16604026,0.214,2019-07-01
Senegal,16209125,0.209,2019-07-01
Chad,15692969,0.20199999999999999,2019-07-01
Somalia,15442905,0.19899999999999998,2019-07-01
Cambodia,15288489,0.19699999999999998,2019-03-03
Zimbabwe,15159624,0.195,2019-07-01
South Sudan,12778250,0.165,2019-07-01
Rwanda,12374397,0.159,2019-07-01
Guinea,12218357,0.157,2019-07-01
Benin,11733059,0.151,2019-07-01
Tunisia,11722038,0.151,2019-07-01
Haiti,11577779,0.149,2019-07-01
