Date/Time,Month,Mean Temp,Total Precip (mm),Total Snow (cm),Snow on Grnd (cm)
2016-01-01,1,-10.1,0,0,50
2016-01-02,1,-9.3,0,0,49
2016-01-03,1,-10.8,0,,46
2016-01-04,1,-8.4,0,,
2016-01-05,1,,1.4,,44
2016-01-06,1,-4,0,,45
2016-01-07,1,-4.7,0,,44
2016-01-08,1,-2.8,0,0,44
2016-01-09,1,-5.5,0,,43
2016-01-10,1,-8,0,,42
2016-01-11,1,-7.9,4.7,,
2016-01-12,1,-3.2,12.1,11.7,45
2016-01-13,1,-0.1,0,,56
2016-01-14,1,0.5,0,0,55
2016-01-15,1,,0.7,,52
2016-01-16,1,-1.5,9.2,,52
2016-01-17,1,-0.2,14.5,,56
2016-01-18,1,1.1,6.2,,58
2016-01-19,1,1,0,0,54
2016-01-20,1,-0.6,9.6,10.6,51
2016-01-21,1,-0.8,47.2,16.2,63
2016-01-22,1,1.7,10.8,,
2016-01-23,1,1.3,0,,68
2016-01-24,1,1,0,,64
2016-01-25,1,-0.5,6.2,,63
2016-01-26,1,0.2,11.2,,61
2016-01-27,1,2.5,30,,59
2016-01-28,1,,12,,52
2016-01-29,1,0.5,4.2,2.4,50
2016-01-30,1,0,4,6.4,
2016-01-31,1,0.5,3.6,,56
2016-02-01,2,-0.4,0,,57
2016-02-02,2,-2.9,0,,55
2016-02-03,2,-2.9,7.2,,54
2016-02-04,2,-0.6,2.2,,63
2016-02-05,2,1.4,66,,55
2016-02-06,2,1.5,1,,58
2016-02-07,2,0,2.9,,59
2016-02-08,2,2.5,0,,58
2016-02-09,2,2.4,0,,57
2016-02-10,2,,7.3,,56
2016-02-11,2,1.9,17.6,0,55
2016-02-12,2,2.9,14.6,0,54
2016-02-13,2,2,4.6,0.8,54
2016-02-14,2,2.3,10.4,,54
2016-02-15,2,3.2,21.4,,50
2016-02-16,2,2.9,3.5,,51
2016-02-17,2,0,14.6,,50
2016-02-18,2,2.2,1.2,,50
2016-02-19,2,3.1,3.6,,0
2016-02-20,2,2.3,0.8,0,49
2016-02-21,2,-1,1,0.6,49
2016-02-22,2,,0,0,50
2016-02-23,2,-0.3,0,0,48
2016-02-24,2,2.4,0,0,47
2016-02-25,2,2.5,0,0,47
2016-02-26,2,3.3,1.2,,47
2016-02-27,2,5.5,2,0,46
2016-02-28,2,1.9,24.6,,45
2016-02-29,2,2.7,2.1,,45
2016-03-01,3,0.3,13,,42
2016-03-02,3,2.2,8.8,0,
2016-03-03,3,3.1,2.9,0,44
2016-03-04,3,2.3,35.4,0,42
2016-03-05,3,5.3,15.6,0,41
2016-03-06,3,3.3,18.4,,40
2016-03-07,3,2.6,1.6,0,36
2016-03-08,3,1.9,0.4,0.4,33
2016-03-09,3,3,21,,0
2016-03-10,3,,9.4,,34
2016-03-11,3,2.5,20.8,,32
2016-03-12,3,2.5,22.4,,31
2016-03-13,3,1,3.6,0.6,37
2016-03-14,3,2.3,1.6,,36
2016-03-15,3,3,1,0,34
2016-03-16,3,3.5,0,0,33
2016-03-17,3,1.6,0,,32
2016-03-18,3,2.5,0,,31
2016-03-19,3,5.3,0,,30
2016-03-20,3,4.5,25.6,,30
2016-03-21,3,5.8,0.8,,
2016-03-22,3,8,0.4,,18
2016-03-23,3,4.5,6.4,,18
2016-03-24,3,3.5,0.6,,0
2016-03-25,3,6,0.6,0,0
2016-03-26,3,5.3,4.4,,0
2016-03-27,3,,2.2,0,0
2016-03-28,3,6,0,0,0
2016-03-29,3,,,,
2016-03-30,3,10.5,0,,0
2016-03-31,3,11,0,0,0
2016-04-01,4,10.3,0,,0
2016-04-02,4,10,0,,0
2016-04-03,4,8.8,11,,0
